Zeitstempel,pH-Wert in 10m Tiefe,Temperatur (°C) in 10m Tiefe,Sauerstoff (mg/L) in 10m Tiefe,Phosphat (mg/L) in 10m Tiefe,Nitrat (mg/L) in 10m Tiefe,Chlorophyll-a (µg/L) in 10m Tiefe
Jan 23,6.95,0.00,8.41,0.10,3.94,1.89
Feb 23,7.08,1.91,7.33,0.11,4.59,3.92
Mär 23,7.15,5.71,6.47,0.12,4.96,6.85
Apr 23,7.33,9.68,5.42,0.15,5.51,12.11
Mai 23,7.46,14.92,4.32,0.18,6.05,17.21
Jun 23,7.35,18.18,3.70,0.20,4.91,27.09
Jul 23,7.49,19.92,2.34,0.19,4.40,20.11
Aug 23,7.30,18.86,3.62,0.16,3.91,14.24
Sep 23,6.93,14.90,5.56,0.14,2.95,10.04
Okt 23,6.78,10.01,6.37,0.12,2.49,5.86
Nov 23,6.83,5.04,7.56,0.11,3.06,4.00
Dez 23,6.88,1.80,8.38,0.10,3.58,1.96
Jan 24,6.84,0.22,8.30,0.10,4.09,2.18
Feb 24,7.13,2.15,7.37,0.11,4.45,4.12
Mär 24,7.31,5.88,6.52,0.12,5.06,7.10
Apr 24,7.11,9.87,5.52,0.15,5.50,11.83
Mai 24,7.33,15.11,4.30,0.18,5.88,17.20
Jun 24,7.59,18.31,3.37,0.20,4.91,27.03
Jul 24,7.55,20.11,2.45,0.19,4.38,20.07
Aug 24,7.03,18.93,3.59,0.16,4.05,14.24
Sep 24,6.94,14.79,5.32,0.14,2.89,9.78
Okt 24,7.05,9.73,6.31,0.12,2.54,5.99
Nov 24,6.90,5.10,7.44,0.11,2.90,4.04
Dez 24,6.67,1.99,8.54,0.10,3.61,2.02
